最高价,开盘价,最低价,收盘价,成交量,成交额,日期,MA5,MA10
43, 29, 13, 34, 0, 0, 2023-01-14, 23 , 54.3
49, 38, 24, 26, 0, 0, 2023-01-13, 4  , 12.6
42, 35, 16, 36, 0, 0, 2023-01-12, 32 , 22
41, 22, 23, 24, 0, 0, 2023-01-11, 43 , 43
44, 28, 15, 22, 0, 0, 2023-01-10, 32 , 32
38, 32, 25, 38, 0, 0, 2023-01-09, 37 , 39
33, 32, 14, 15, 0, 0, 2023-01-08, 32 , 4.9 
32, 32, 24, 30, 0, 0, 2023-01-07, 27 , 57
33, 32, 10, 16, 0, 0, 2023-01-06, 32 , 32
37, 32, 13, 13, 0, 0, 2023-01-05, 43 , 32
46, 32, 15, 15, 0, 0, 2023-01-04, 32 , 65.5
43, 24, 20, 27, 0, 0, 2023-01-03, 46 , 46
38, 18, 14, 37, 0, 0, 2023-01-02, 32 , 43
59, 20, 15, 20, 0, 0, 2023-01-01, 12 , 32
